ID,Product_Name,Manufacturer,Date,Price_BDT,Quantity_Litre,Location,Region,Sales_Person,Max_Price,Min_Price
1,Mobil 1 5W-30 (4L),MJL Bangladesh PLC,2026-01-05,1200,150,"Tejgaon, Dhaka",Dhaka Central,Mr. Karim,1500,1200
2,Shell Advance Ultra,Ranks Petroleum,2026-01-10,450,40,"Agrabad, Chittagong",Chattogram Port,Ms. Rahman,500,450
3,BNO Turbo 20W-50,Lub-rref (BD) Ltd,2026-01-12,600,80,"Tongi, Gazipur",Dhaka North,Mr. Alam,700,600
4,Petronas Sprinta F700,United Lube Oil Ltd,2026-01-18,850,110,"Fatullah, Narayanganj",Dhaka South,Ms. Sultana,1000,850
5,Gulf Pride 4T,Gulf Oil Bangladesh,2026-01-22,320,25,"Kadamtali, Sylhet",Sylhet Division,Mr. Hossain,400,320
6,Castrol Magnatec,BP Bangladesh,2026-02-01,1100,200,"Boalia, Rajshahi",Rajshahi Division,Ms. Jahan,1300,1100
7,Mobil Super Moto,MJL Bangladesh PLC,2026-02-05,210,15,"Khalishpur, Khulna",Khulna Division,Mr. Chowdhury,300,210
8,Shell Rimula R4 X,Ranks Petroleum,2026-02-08,2400,350,"Maskanda, Mymensingh",Mymensingh Division,Ms. Anika,2500,2400
9,TotalEnergies Quartz,TotalEnergies BD,2026-02-12,1350,180,"Uttara, Dhaka",Dhaka North,Mr. Shuvo,1500,1350
10,BNO Industrial Hyd.,Lub-rref (BD) Ltd,2026-02-15,4500,600,"EPZ, Chittagong",Chattogram Port,Ms. Farzana,5000,4500
11,Petronas Urania 3000,United Lube Oil Ltd,2026-02-18,1800,220,"Chelopara, Bogra",Rajshahi Division,Mr. Rahim,2000,1800
12,Sigma Power 4T,Sigma Oil Industries,2026-02-22,280,30,"Mirpur, Dhaka",Dhaka North,Ms. Tania,350,280
13,Sinopec Tulux T500,Sinopec Lubricants,2026-02-25,1150,140,"Modern Mor, Rangpur",Rangpur Division,Mr. Iqbal,1200,1150
14,Mobil Delvac MX,MJL Bangladesh PLC,2026-03-01,950,100,"Kandirpar, Comilla",Chattogram Division,Ms. Rupa,1000,950
15,Shell Helix Ultra,Ranks Petroleum,2026-03-05,1550,210,"Motijheel, Dhaka",Dhaka Central,Mr. Karim,1600,1550
16,Gulf Formula G,Gulf Oil Bangladesh,2026-03-08,1050,125,"Palbari, Jessore",Khulna Division,Ms. Nasrin,1200,1050
17,BNO Gear Lube,Lub-rref (BD) Ltd,2026-03-12,520,65,"Natullabad, Barisal",Barisal Division,Mr. Hasan,600,520
18,Castrol CRB Turbomax,BP Bangladesh,2026-03-15,2100,300,"Dhanmondi, Dhaka",Dhaka Central,Ms. Shirin,2200,2100
19,Petronas Paraffinic,United Lube Oil Ltd,2026-03-20,3200,450,"Nasirabad, Chittagong",Chattogram Port,Mr. Tanvir,3500,3200
20,Mobil Special 20W-50,MJL Bangladesh PLC,2026-03-25,380,40,"Savar, Dhaka",Dhaka North,Ms. Nadia,500,380
